Vannlokalitet_kode,Vannlokalitetsnavn,type,programmes,utm33_x,utm33_y,first_year,last_year,n_records,parameters
01.01-101542,Teisberget,Kyst,YOFJ,243365.3217,6586366.7045,2021,2024,99,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;MHDEKNSK
01.01-101545,"Tønsbergfjord, Stiger syd",Kyst,YOFJ,231408.8068,6560303.3305,2024,2024,12,MANVGR;MHAFOR;MSMDI2
01.01-101546,Hønstangen,Kyst,YOFJ,238757.1699,6567216.5737,2024,2024,13,MANVGR;MSMDI3;MAAFOR
01.01-101547,Langøyholmen,Kyst,YOFJ,220125.8609,6552124.1434,2024,2024,10,MANVGR;MSMDI3;MAAFOR
01.01-101548,Hvittingen,Kyst,YOFJ,211796.9721,6547160.2006,2024,2024,8,MANVGR;MSMDI1
01.01-122838,Singelbukta,Kyst,YOFJ,239311.6886,6599184.7254,2024,2024,8,MANVGR;MSMDI3
01.01-122839,Hvasser,Kyst,YOFJ,242517.9604,6553988.1713,2024,2024,11,MANVGR;MSMDI1
01.01-43178,Kongsholmen,Kyst,YOFJ,239926.7259,6562483.9567,2021,2024,21,MANVGR;MSMDI2
01.01-43180,Færder fyr,Kyst,OEKK,243326.1,6551622.6,2021,2024,671,MARFORSK;MHRFORSK;MSMDI1
01.01-43181,Lyngholmene,Kyst,OEKK,230242.9,6554351.9,2021,2024,608,MARFORSK;MHRFORSK;MSMDI1
01.01-43183,Oskjær,Kyst,YOFJ,221570.7431,6547154.2033,2024,2024,10,MANVGR;MSMDI1
01.01-62427,Veslekalven,Kyst,OEKK,255116.5,6576265.1,2021,2024,675,MARFORSK;MHRFORSK;MSMDI2
01.01-62428,Brattholmen,Kyst,OEKK,277144.5,6550816.5,2021,2024,553,MARFORSK;MHRFORSK;MSMDI3
01.01-84191,Østøya,Kyst,YOFJ,244000.5,6598872.4,2021,2024,96,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;MHDEKNSK
01.01-84192,Akerøy,Kyst,OEKK,263154.6,6552665.2,2021,2024,663,MARFORSK;MHRFORSK;MSMDI1
01.01-89838,Vestre Damholmen,Kyst,YOFJ,273466.2354,6558195.7197,2021,2024,16,MANVGR;MHAFOR;MSMDI3
01.01-89839,Torgersøya,Kyst,YOFJ,243991.3354,6576264.9422,2021,2024,120,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;MANVGR;MHDEKNSK;MSMDI2
01.01-89840,Ravnø,Kyst,YOFJ,233964.8253,6570187.4816,2021,2024,62,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;MANVGR;MHAFOR;MHDEKNSK;MSMDI3;MAAFOR
01.01-89841,Hellsøya,Kyst,YOFJ,228016.0812,6558461.8451,2021,2024,113,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;MANVGR;MHDEKNSK;MSMDI3
01.01-89842,Bevøya syd,Kyst,YOFJ,253295.828,6604808.3282,2021,2024,21,MANVGR;MSMDI2;MAAFOR
01.01-89843,Store Kråka,Kyst,OEKK;YOFJ,269205.6253,6553200.7066,2021,2024,11,MANVGR;MHRFORSK;MSMDI3
01.01-89844,Småskjæret,Kyst,OEKK;YOFJ,243956.79810000001,6587268.2732,2021,2024,19,MANVGR;MHRFORSK;MSMDI2
01.01-89845,Gullholmen,Kyst,OEKK,249494.4,6597028.3,2021,2024,611,MARFORSK;MHRFORSK;MSMDI2
01.10-101550,Arøy,Kyst,YOFJ,187649.0236,6540648.9733,2024,2024,9,MANVGR;MSMDI3
01.10-122840,Rognsfjorden,Kyst,YOFJ,195544.9546,6550091.9915,2024,2024,10,MANVGR;MSMDI2;MSMDI3
01.10-62429,Store Arøya,Kyst,OEKK,201875.6,6550925.6,2021,2024,487,MARFORSK;MHRFORSK;MSMDI2
01.10-79550,Risøyodden,Kyst,OEKK,198999.7,6554468.3,2021,2024,548,MARFORSK;MHRFORSK;MSMDI3
01.20-43186,Tromøy nord,Kyst,OEKK,147482.5,6501757.9,2021,2024,635,MARFORSK;MHRFORSK;MSMDI3
01.20-62430,Robersvik,Kyst,OEKK,168467.1,6525607.7,2021,2024,531,MARFORSK;MHRFORSK;MSMDI2
01.21-43189,Prestholmen,Kyst,OEKK,121259.9,6477318.1,2021,2024,615,MARFORSK;MHRFORSK;MSMDI1
01.21-62431,Lille Tvillingholmen,Kyst,OEKK,124331.8,6481893.6,2021,2024,657,MARFORSK;MHRFORSK
01.21-62432,Homborøya,Kyst,OEKK,120222.1,6475334.8,2021,2024,588,MARFORSK;MHRFORSK;MSMDI1
01.30-62433,Korsvikfjorden,Kyst,OEKK,92106.7999999998,6464440.5,2021,2024,603,MARFORSK;MHRFORSK;MSMDI2
01.30-62434,Gleodden,Kyst,OEKK,90471.0999999996,6466000,2021,2024,606,MARFORSK;MHRFORSK
01.31-62435,Eigebrekk,Kyst,OEKK,63436.5999999996,6453873.3,2021,2024,668,MARFORSK;MHRFORSK;MSMDI3
02.01-43167,"Rossøy,",Kyst,OEKK,1759.70000000019,6485630.5,2021,2024,1903,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;MARFORSK;RSLA1
02.42-108480,Nedstrand,Kyst,OEKK,-19174.7999999998,6613908.6,2021,2024,4695,MAAFOR
02.42-108481,Torsteinvika,Kyst,OEKK,-31555.9000000004,6581867.4,2021,2024,3968,MARFORSK;MAAFOR
02.42-108483,Vikevågen,Kyst,OEKK,-54926.5999999996,6597495.7,2021,2021,224,MAAFOR
02.42-111435,Jonebukta,Kyst,OEKK,-48117.9710999997,6609317.0766,2022,2024,828,MAAFOR
02.42-62436,Tingholmen,Kyst,OEKK,-23468.5,6572416.3,2021,2024,2291,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;MARFORSK;MHDEKNSK;MHRFORSK;RSLA3
02.42-62437,Rossholmen,Kyst,OEKK,-31216.0999999996,6583723.2,2022,2024,2484,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;MARFORSK;MHDEKNSK;MHRFORSK;RSLA3
02.42-79218,Skolbuholmen,Kyst,OEKK,-44696.7000000002,6607765.4,2022,2022,74,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;RSLA3
02.42-80228,Børevika,Kyst,OEKK,-52149,6600990.9,2022,2022,61,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;RSLA2
02.42-80230,Kavholmane,Kyst,OEKK,-58966.7000000002,6596248.1,2022,2022,52,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;RSLA1;RSLA2
02.42-84124,Skibaviga,Kyst,OEKK,-6936.40000000037,6601974.3,2022,2022,53,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;RSLA3
02.42-88037,Nessaviga,Kyst,OEKK,-9016.5,6590646,2022,2022,47,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;RSL4
02.60-63413,Raudbergtåa,Kyst,OEKK,-50851,6691204.5,2021,2024,79,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;MHDEKNSK;RSLA1
02.60-84114,Eikelandsfjorden,Kyst,OEKK,-14748.0999999996,6713674.4,2021,2024,131,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;MHDEKNSK;RSL4
02.60-84116,Maurangsfjorden,Kyst,OEKK,10660.9000000004,6695706.1,2021,2024,91,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;MHDEKNSK;RSL4
02.61-43174,Årebrot,Kyst,OEKK,-53875.2999999998,6741157,2021,2024,3549,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;MARFORSK;MHDEKNSK;MHRFORSK;RSLA1
02.61-63412,Børnestangen,Kyst,OEKK,-43741.2000000002,6714136,2021,2024,109,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;MHDEKNSK;RSLA2
02.80-108482,Midttunvågen,Kyst,OEKK,-35119.2999999998,6801574.8,2021,2023,3008,MARFORSK;MAAFOR
02.80-84128,So3-Kjekeneset,Kyst,OEKK,-22207.2000000002,6813842.2,2023,2023,56,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;RSLA3
02.80-84129,Søre Dingeneset,Kyst,OEKK,-37450.0999999996,6806429.8,2023,2023,56,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;RSLA3
02.80-84130,Kuøyna,Kyst,OEKK,-45540.2999999998,6804842.6,2023,2023,51,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;RSLA2
02.80-84131,Sula,Kyst,OEKK,-54506.0999999996,6805446.1,2023,2023,53,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;RSLA2
02.80-87370,Skjerdal,Kyst,OEKK,77537.0999999996,6780832.5,2023,2023,32,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;RSL4
02.80-87371,So2-Kyrkjebø,Kyst,OEKK,12010.2999999998,6814955.7,2023,2023,49,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;RSLA3
02.80-87373,Undredal,Kyst,OEKK,72763.5,6783574.2,2023,2023,32,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;RSL4
03.01-84119,Vikane,Kyst,OEKK,14727.9000000004,6945640.8,2021,2024,124,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;MHDEKNSK;RSLA2
03.01-84120,Dimnaneset,Kyst,OEKK,23011.4000000004,6943997.1,2021,2024,128,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;MHDEKNSK;RSLA3
03.01-86886,Kvitneset,Kyst,OEKK,92317.4615000002,6911210.8346,2021,2024,76,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;MHDEKNSK;RSL4
03.01-86887,Syltavika,Kyst,OEKK,84491.4000000004,6909271.4,2021,2024,98,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;MHDEKNSK;RSL4
03.20-108478,Sundsbukta,Kyst,OEKK,247631.4,7060397,2021,2021,980,MARFORSK;MAAFOR
03.20-108479,Leksvik,Kyst,OEKK,282939.6,7067049.8,2021,2023,3458,MARFORSK;MAAFOR
03.20-111436,Sørhamna,Kyst,OEKK,283200.3472,7057237.8608,2022,2023,2089,MAAFOR
03.20-63217,Skomakaren,Kyst,OEKK,295421.8,7072571.9,2023,2023,48,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;RSLA3
03.20-63218,Folafoten,Kyst,OEKK,262185.1,7045017.2,2023,2023,42,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;RSLA3
03.21-63215,Herfjord,Kyst,OEKK,256430.9,7106792,2023,2023,61,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;RSLA2
03.21-63216,Tårneset,Kyst,OEKK,254153.9,7101382.2,2023,2023,60,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;RSLA3
03.41-87209,Broemsneset,Kyst,OEKK,322732.2,7155737,2023,2023,43,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;RSL4
03.41-87210,Yttergåsøya,Kyst,OEKK,324870.6,7154058.7,2023,2023,43,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;RSL4
03.41-87211,Ledangholman,Kyst,OEKK,314206.9,7160341,2023,2023,45,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;RSL4
03.61-79213,Arenholmen,Kyst,OEKK,352324.2,7302050.6,2023,2023,56,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;RSLA1
03.61-79214,Jønnesholmen,Kyst,OEKK,375107.8,7323920.1,2023,2023,40,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;RSLA2
03.61-79215,Slåttøya,Kyst,OEKK,352291,7289139,2023,2023,68,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;RSLA1
03.61-79216,Ørnøy,Kyst,OEKK,377723.6,7348594.4,2023,2023,64,AFANHAB;AFDYPPYT;AFGRUNPYT;AFMINPYT;AFOVHENG;AFSTORHUL;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFKAMPST;DFOPPSFJ;DFSTEIN;DFSTOPFJ;DFUSUB;DFVERTFJ;MADEKNSK;RSLA2
03.63-87339,Skomakerodden,Kyst,OEKK,500998.3,7457671.4,2022,2022,24,BFISKUR;BFSSKUR;BFTURB;DFOPPSFJ;MADEKNSK;MHRFORSK;RSLA3
03.63-87340,Alvnestangen,Kyst,OEKK,501609.3,7461769.2,2022,2022,29,BFISKUR;BFSSKUR;BFTURB;DFOPPSFJ;MADEKNSK;MHRFORSK;RSLA3
03.63-87341,Stamnesskjeret,Kyst,OEKK,519185.2,7447522.7,2022,2022,28,AFMINPYT;BFISKUR;BFSSKUR;BFTURB;DFVERTFJ;MADEKNSK;MHRFORSK;RSLA3
03.63-87342,Stornesodden,Kyst,OEKK,517013.3,7455456.1,2022,2022,35,BFISKUR;BFSSKUR;BFTURB;DFOPPSFJ;MADEKNSK;MHRFORSK;RSLA3
03.64-63424,Fuglbergøya,Kyst,OEKK,487053.7,7560049.9,2022,2022,47,AFGRUNPYT;BFISKUR;BFSSKUR;BFTURB;DFOPPSFJ;MADEKNSK;MHRFORSK;RSLA1
03.64-63425,Våtvikneset,Kyst,OEKK,493047.8,7566369,2022,2022,47,AFGRUNPYT;BFISKUR;BFSSKUR;BFTURB;DFOPPSFJ;MADEKNSK;MHRFORSK;RSLA2
03.64-87352,Karvenes,Kyst,OEKK,593566,7579980.3,2023,2023,23,AFMINPYT;BFISKUR;BFSSKUR;BFTURB;DFUSUB;MADEKNSK;MHRFORSK;RSL4
03.64-87353,Skredneset,Kyst,OEKK,583928.1,7594443.4,2023,2023,49,BFISKUR;BFSSKUR;BFTURB;DFKAMPST;MADEKNSK;MHRFORSK;RSLA3
03.64-87354,Aspevik,Kyst,OEKK,598678.9,7575542.6,2023,2023,24,BFISKUR;BFSSKUR;BFTURB;DFGRUS;DFSTEIN;MADEKNSK;MHRFORSK;RSL4
03.64-87355,Holmen,Kyst,OEKK,607403.2,7597771.3,2023,2023,23,BFISKUR;BFSSKUR;BFTURB;DFOPPSFJ;MADEKNSK;MHRFORSK;RSLA3
03.64-87356,Spira,Kyst,OEKK,584155.9,7594490.9,2021,2021,61,AFMINPYT;BFISKUR;BFSSKUR;BFTURB;DFKAMPST;DFOPPSFJ;MADEKNSK;MHRFORSK;RSLA3
04.02-87348,Målsneset,Kyst,OEKK,638966.9,7695505.7,2022,2022,34,BFISKUR;BFSSKUR;BFTURB;DFKAMPST;DFSTEIN;MADEKNSK;MHRFORSK;RSL4
